"Year"|"Company"|"Rights Ratio"|"FV"|"Premium"|"Announcement"|"Record"|"Ex-Rights"
"2013"|"Kokuyo Camlin"|"14:29"|"1"|"32"|"07-08-12"|"02-08-13"|"01-08-13"
"2013"|"Asahi India"|"13:25"|"1"|"29"|"10-10-12"|"00-00-00"|"26-07-13"
"2013"|"Reliance Media"|"13:4"|"5"|"35"|"25-07-12"|"24-07-13"|"23-07-13"
"2013"|"Dalal Street"|"2:1"|"10"|"0"|"25-02-13"|"11-06-13"|"12-06-13"
"2013"|"Kesoram"|"7:5"|"10"|"55"|"22-08-12"|"16-05-13"|"15-05-13"
"2013"|"Media Matrix"|"9:1"|"1"|"0"|"24-02-12"|"19-03-13"|"18-03-13"
"2013"|"Johnson Control"|"1:5"|"10"|"120"|"18-10-12"|"06-03-13"|"05-03-13"
"2013"|"Alok Industries"|"2:3"|"10"|"0"|"25-09-12"|"19-02-13"|"15-02-13"
"2013"|"Bajaj Finance"|"3:19"|"10"|"1090"|"15-01-13"|"25-01-13"|"23-01-13"
"2013"|"Tata Steel BSL Add to Watchlist"|"1:15"|"2"|"333"|"28-01-12"|"16-01-13"|"15-01-13"
"2014"|"Yash Trading"|"2:1"|"10"|"0"|"28-08-14"|"19-12-14"|"18-12-14"
"2014"|"Modulex Constru"|"9:10"|"10"|"0"|"28-08-14"|"19-12-14"|"16-12-14"
"2014"|"Channel Nine"|"1:2"|"10"|"0"|"09-06-14"|"21-11-14"|"20-11-14"
"2014"|"Future Ent"|"5:8"|"2"|"101"|"07-11-14"|"19-11-14"|"18-11-14"
"2014"|"FEL"|"5:8"|"2"|"101"|"11-06-14"|"19-11-14"|"18-11-14"
"2014"|"FEL"|"5:8"|"2"|"101"|"07-11-14"|"19-11-14"|"18-11-14"
"2014"|"Future Ent"|"5:8"|"2"|"101"|"11-06-14"|"19-11-14"|"18-11-14"
"2014"|"Esteem Bio"|"2:3"|"10"|"0"|"30-08-13"|"10-11-14"|"07-11-14"
"2014"|"Kalyanpur Cem"|"1:2"|"10"|"0"|"25-05-12"|"20-10-14"|"13-10-14"
"2014"|"NCC"|"7:6"|"2"|"18"|"09-04-14"|"19-09-14"|"18-09-14"
"2014"|"Mirc Electronic"|"5:13"|"1"|"5"|"04-12-13"|"00-00-00"|"18-09-14"
"2014"|"Neuland Lab"|"4:25"|"10"|"194"|"05-02-14"|"14-08-14"|"13-08-14"
"2014"|"Lakshmi Vilas"|"5:6"|"10"|"40"|"16-07-14"|"28-07-14"|"25-07-14"
"2014"|"Indian Hotels"|"9:40"|"55"|"0"|"27-03-14"|"21-07-14"|"18-07-14"
"2014"|"Ramco System"|"1:2"|"10"|"145"|"30-05-13"|"23-04-14"|"22-04-14"
"2014"|"Eco Friendly"|"3:2"|"10"|"0"|"30-08-13"|"17-04-14"|"16-04-14"
"2014"|"Denis Chem Lab"|"2:1"|"10"|"3"|"19-03-14"|"29-03-14"|"27-03-14"
"2014"|"Tata Power"|"7:50"|"1"|"59"|"27-02-14"|"20-03-14"|"19-03-14"
"2014"|"U. Y. Fincorp"|"9:5"|"5"|"4"|"22-08-12"|"19-03-14"|"18-03-14"
"2014"|"ILandFS Trans"|"27:100"|"10"|"90"|"17-09-13"|"14-03-14"|"13-03-14"
"2014"|"Easun Reyrl"|"12:25"|"2"|"57"|"05-03-14"|"17-03-14"|"13-03-14"
"2014"|"Wheels"|"51:20"|"10"|"390"|"03-02-14"|"14-02-14"|"13-02-14"
"2014"|"Mukand"|"1:1"|"10"|"11"|"06-06-13"|"11-02-14"|"10-02-14"
"2014"|"Coromandel Engg"|"91:10"|"10"|"10"|"05-09-13"|"15-01-14"|"13-01-14"
"2015"|"Ashima"|"24:10"|"10"|"0"|"07-03-15"|"02-11-15"|"30-10-15"
"2015"|"ILandFS Trans"|"1:3"|"10"|"80"|"26-08-15"|"08-10-15"|"07-10-15"
"2015"|"Kingfa Science"|"127:127"|"10"|"260"|"12-05-15"|"00-00-00"|"22-09-15"
"2015"|"Universal Cable"|"1:2"|"10"|"41"|"31-03-15"|"18-09-15"|"16-09-15"
"2015"|"Everlon Synth"|"6:7"|"1"|"0"|"20-10-14"|"00-00-00"|"07-09-15"
"2015"|"Deccan Gold"|"1:2"|"1"|"16"|"19-11-14"|"05-09-15"|"03-09-15"
"2015"|"Vascon Engineer"|"14:19"|"10"|"5"|"20-10-14"|"24-06-15"|"23-06-15"
"2015"|"Mack Trading"|"2:5"|"10"|"0"|"11-08-14"|"22-05-15"|"21-05-15"
"2015"|"Tata Motors"|"6:109"|"2"|"448"|"27-01-15"|"00-00-00"|"06-04-15"
"2015"|"TML-D"|"6:109"|"2"|"448"|"27-01-15"|"00-00-00"|"06-04-15"
"2015"|"Zee Media"|"3:10"|"1"|"17"|"20-10-14"|"17-03-15"|"16-03-15"
"2015"|"GMR Infra"|"3:14"|"1"|"14"|"16-09-14"|"12-03-15"|"11-03-15"
"2015"|"State Bk Travan"|"1:5"|"10"|"390"|"26-03-14"|"04-03-15"|"03-03-15"
"2015"|"Can Fin Homes"|"3:10"|"10"|"440"|"24-07-14"|"27-01-15"|"23-01-15"
"2016"|"Orient Paper"|"1:28"|"1"|"67"|"15-09-16"|"21-11-16"|"18-11-16"
"2016"|"Karnataka Bank"|"1:2"|"10"|"60"|"05-08-16"|"25-10-16"|"24-10-16"
"2016"|"CIL Nova Petro"|"1:1"|"10"|"5"|"23-05-16"|"25-10-16"|"24-10-16"
"2016"|"Crest Ventures"|"1:2"|"10"|"40"|"08-02-16"|"16-09-16"|"15-09-16"
"2016"|"Sintex Ind"|"26:127"|"1"|"64"|"28-07-16"|"09-08-16"|"08-08-16"
"2016"|"Anjani Cement"|"3:8"|"10"|"99"|"29-04-15"|"18-05-16"|"17-05-16"
"2016"|"Polson"|"31:39"|"50"|"5550"|"24-05-14"|"06-04-16"|"05-04-16"
"2016"|"Sun Pharma Adv"|"5:116"|"1"|"244"|"12-05-15"|"17-03-16"|"16-03-16"
"2016"|"The Investment Add to Watchlist"|"4:5"|"10"|"80"|"18-08-14"|"09-02-16"|"08-02-16"
"2016"|"BN Rathi Sec"|"1:1"|"10"|"5"|"27-05-15"|"15-01-16"|"14-01-16"
"2016"|"JMC Projects"|"2:7"|"10"|"191"|"11-09-15"|"12-01-16"|"11-01-16"
"2017"|"Shalimar Paints"|"6:32"|"2"|"138"|"07-04-17"|"29-12-17"|"28-12-17"
"2017"|"Sumeet Ind"|"3:7"|"10"|"14"|"13-02-17"|"18-12-17"|"15-12-17"
"2017"|"Kanpur Plast"|"1:5"|"10"|"65"|"29-05-17"|"15-12-17"|"14-12-17"
"2017"|"Lakshmi Vilas"|"1:3"|"10"|"112"|"27-09-17"|"06-12-17"|"05-12-17"
"2017"|"Josts Engineers"|"22:100"|"10"|"584"|"13-02-17"|"21-11-17"|"20-11-17"
"2017"|"VIP Clothing"|"1:4"|"2"|"24"|"22-04-17"|"20-11-17"|"17-11-17"
"2017"|"HCL Info"|"10:21"|"2"|"45"|"29-08-17"|"01-11-17"|"31-10-17"
"2017"|"Hind Rectifiers"|"1:10"|"2"|"78"|"15-01-17"|"18-10-17"|"17-10-17"
