"Year"|"Company"|"Old FV"|"New FV"|"Split Date"
"2010"|"TATA Cons. Prod"|"10"|"1"|"30-06-2010"
"2010"|"Allied Computer"|"1"|"10"|"29-06-2010"
"2010"|"Veritas"|"10"|"1"|"28-06-2010"
"2010"|"Chartered Logis"|"10"|"1"|"23-06-2010"
"2010"|"Genesys Int"|"10"|"5"|"23-06-2010"
"2010"|"Sterlite Ind"|"2"|"1"|"21-06-2010"
"2010"|"Bodal Chemicals"|"10"|"2"|"10-06-2010"
"2010"|"Kabra Extrusion"|"10"|"5"|"17-05-2010"
"2010"|"EngineersInd"|"10"|"5"|"06-05-2010"
"2010"|"Vipul"|"2"|"1"|"04-05-2010"
"2010"|"Manappuram Fin"|"10"|"2"|"03-05-2010"
"2010"|"Tatia Global"|"10"|"1"|"22-04-2010"
"2010"|"Unity Infraproj"|"10"|"2"|"07-04-2010"
"2010"|"Paisalo Digital"|"10"|"2"|"05-04-2010"
"2010"|"M&M"|"10"|"5"|"29-03-2010"
"2010"|"Simmonds-Marsha"|"10"|"2"|"29-03-2010"
"2010"|"KM Sugar Mills"|"10"|"2"|"26-03-2010"
"2010"|"Ipca Labs"|"10"|"2"|"22-03-2010"
"2010"|"Murli"|"10"|"2"|"18-03-2010"
"2010"|"Suprajit Eng"|"5"|"1"|"18-03-2010"
"2010"|"Well Pack Paper"|"10"|"1"|"15-03-2010"
"2010"|"LG Balakrishnan"|"1"|"10"|"15-03-2010"
"2010"|"India Sec"|"10"|"1"|"11-03-2010"
"2010"|"Vaarad Ventures"|"10"|"2"|"09-03-2010"
"2010"|"Sterlite Techno"|"5"|"2"|"09-03-2010"
"2010"|"JMDE Packaging"|"10"|"1"|"26-02-2010"
"2010"|"Basant Agro Tec"|"10"|"1"|"26-02-2010"
"2010"|"Haldyn Glass"|"10"|"1"|"25-02-2010"
"2010"|"Aishwarya Tech"|"10"|"5"|"24-02-2010"
"2010"|"Assoc Stone"|"10"|"5"|"18-02-2010"
"2010"|"KRBL"|"10"|"1"|"10-02-2010"
"2010"|"CCCL"|"10"|"2"|"10-02-2010"
"2010"|"Asian Films"|"1"|"10"|"04-02-2010"
"2010"|"Bajaj Electric"|"10"|"2"|"28-01-2010"
"2010"|"Farmax India"|"10"|"5"|"27-01-2010"
"2010"|"Nakoda"|"10"|"5"|"22-01-2010"
