"0"|"1"|"2"|"3"|"4"|"5"
"COMPANY NAME"|"DIVIDEND"|"DIVIDEND"|"DATE"|"DATE"|"DATE"
"COMPANY NAME"|"Type"|"%"|"Announcement"|"Record"|"Ex-Dividend"
"CCL Internation"|"Final"|"2.50"|"29-08-2012"|"-"|"20-09-2012"
"Panoramic Uni"|"Final"|"10.00"|"28-08-2012"|"-"|"20-09-2012"
"CHD Developers"|"Final"|"5.00"|"11-06-2012"|"-"|"20-09-2012"
"Carnation Ind"|"Final"|"6.00"|"29-05-2012"|"-"|"20-09-2012"
"Chaman Lal Seti"|"Final"|"16.00"|"24-08-2012"|"-"|"20-09-2012"
"Cybertech"|"Final"|"10.00"|"29-05-2012"|"-"|"20-09-2012"
"Delton Cables"|"Final"|"15.00"|"29-05-2012"|"-"|"20-09-2012"
"DCW"|"Final"|"18.00"|"06-08-2012"|"-"|"20-09-2012"
"D & H India"|"Final"|"5.00"|"13-08-2012"|"-"|"20-09-2012"
"Deep Energy Res"|"Final"|"5.00"|"29-08-2012"|"-"|"20-09-2012"
"Datamatics Glob"|"Final"|"15.00"|"31-05-2012"|"-"|"20-09-2012"
"ECE Industries"|"Final"|"5.00"|"08-06-2012"|"-"|"20-09-2012"
"Era Infra Eng"|"Final"|"20.00"|"14-08-2012"|"-"|"20-09-2012"
"Essar Ports"|"Final"|"5.00"|"30-05-2012"|"-"|"20-09-2012"
"Educomp Sol"|"Final"|"15.00"|"30-05-2012"|"-"|"20-09-2012"
"ESS DEE"|"Final"|"20.00"|"29-05-2012"|"-"|"20-09-2012"
"EPIC Energy"|"Final"|"7.50"|"31-08-2012"|"-"|"20-09-2012"
"Fluidomat"|"Final"|"12.50"|"30-05-2012"|"-"|"20-09-2012"
"Filatex India"|"Final"|"5.00"|"29-05-2012"|"-"|"20-09-2012"
"FIEM Ind"|"Final"|"30.00"|"21-08-2012"|"-"|"20-09-2012"
"Metroglobal"|"Final"|"20.00"|"09-08-2012"|"-"|"20-09-2012"
"Shervani Indust"|"Final"|"10.00"|"30-05-2012"|"-"|"20-09-2012"
"Metkore Alloys"|"Final"|"5.00"|"14-08-2012"|"-"|"20-09-2012"
"Ganesha Ecosph"|"Final"|"12.00"|"28-05-2012"|"-"|"20-09-2012"
"Godawari Power"|"Final"|"25.00"|"22-05-2012"|"-"|"20-09-2012"
"Olectra Greente"|"Final"|"5.00"|"29-05-2012"|"-"|"20-09-2012"
"Garware Technic"|"Final"|"25.00"|"28-05-2012"|"-"|"20-09-2012"
"Hira Ferro"|"Final"|"6.00"|"22-05-2012"|"-"|"20-09-2012"
"Hisar Metal"|"Final"|"10.00"|"27-08-2012"|"-"|"20-09-2012"
"Ceejay Finance"|"Final"|"12.00"|"13-08-2012"|"-"|"20-09-2012"
"Hind Tin Works"|"Final"|"7.00"|"09-08-2012"|"-"|"20-09-2012"
"Balasore Alloys"|"Final"|"10.00"|"28-05-2012"|"-"|"20-09-2012"
"Integ Fin Serv"|"Final"|"4.00"|"25-05-2012"|"-"|"20-09-2012"
"Innoventive Ind"|"Final"|"30.00"|"30-05-2012"|"-"|"20-09-2012"
"IKF Finance"|"Final"|"10.00"|"03-09-2012"|"-"|"20-09-2012"
"India Tourism D"|"Final"|"5.00"|"03-09-2012"|"-"|"20-09-2012"
"ITL Industries"|"Final"|"10.00"|"17-08-2012"|"-"|"20-09-2012"
"Jayant Agro-Org"|"Final"|"40.00"|"06-08-2012"|"-"|"20-09-2012"
"Veer Energy"|"Final"|"6.00"|"23-08-2012"|"-"|"20-09-2012"
"Jindal PolyFilm"|"Final"|"25.00"|"03-09-2012"|"-"|"20-09-2012"
"JVL Agro Ind"|"Final"|"20.00"|"04-09-2012"|"-"|"20-09-2012"
